Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.518255

Equilibrium frequencies (pi_i):
  A: 0.1528
  B: 0.1033
  C: 0.0905
  D: 0.0757
  E: 0.2282
  F: 0.0125
  G: 0.0803
  H: 0.0641
  I: 0.1926

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.3913	1.2169	0.8887	0.2353	2.3457	0.4476	1.4867	2.3269
  B	0.3913	0	0.8204	1.2356	0.8619	0.8032	0.8623	0.8611	0.5043
  C	1.2169	0.8204	0	1.6042	5.0738	0.8055	0.8288	0.8344	1.0037
  D	0.8887	1.2356	1.6042	0	0.7795	0.8143	0.8315	0.8371	0.8062
  E	0.2353	0.8619	5.0738	0.7795	0	1.111	0.8601	0.8576	0.3351
  F	2.3457	0.8032	0.8055	0.8143	1.111	0	0.816	0.8248	17.7311
  G	0.4476	0.8623	0.8288	0.8315	0.8601	0.816	0	0.861	1.3963
  H	1.4867	0.8611	0.8344	0.8371	0.8576	0.8248	0.861	0	0.5971
  I	2.3269	0.5043	1.0037	0.8062	0.3351	17.7311	1.3963	0.5971	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0598	0.186	0.1358	0.036	0.3585	0.0684	0.2272	0.3556
  B	0.0404	0	0.0847	0.1276	0.089	0.0829	0.089	0.0889	0.0521
  C	0.1101	0.0742	0	0.1451	0.4591	0.0729	0.075	0.0755	0.0908
  D	0.0672	0.0935	0.1214	0	0.059	0.0616	0.0629	0.0633	0.061
  E	0.0537	0.1967	1.1581	0.1779	0	0.2536	0.1963	0.1957	0.0765
  F	0.0293	0.01	0.0101	0.0102	0.0139	0	0.0102	0.0103	0.2217
  G	0.0359	0.0692	0.0665	0.0668	0.0691	0.0655	0	0.0691	0.1121
  H	0.0953	0.0552	0.0535	0.0537	0.055	0.0529	0.0552	0	0.0383
  I	0.4482	0.0971	0.1934	0.1553	0.0645	3.4157	0.269	0.115	0
